initial_guess,level,require_v_sum,optimiser,loss_type,constraint_strictness,loss,time
reg,nested,FALSE,L-BFGS-B,l2,1.00E-08,7.547643914,15.54739547
equal,single,FALSE,SLSQP,RSS,1.00E-08,810.1063518,0.007064104
reg,nested,FALSE,L-BFGS-B,l2,0,7.652994965,5.101129532
equal,nested,FALSE,SLSQP,l2,1.00E-08,7.62905256,5.246313095
reg,single,TRUE,SLSQP,l2,0,8.470355973,0.006967068
reg,nested,FALSE,SLSQP,RSS,0.05,58.14911159,0.837388039
reg,nested,FALSE,SLSQP,l2,1.00E-08,7.547317857,1.724721909
reg,nested,TRUE,SLSQP,RSS,0,58.21165774,1.872956991
reg,nested,TRUE,SLSQP,l2,0.01,7.540234385,3.207160711
reg,nested,FALSE,L-BFGS-B,l2,1.00E-08,7.547643914,15.59561491
equal,single,TRUE,SLSQP,RSS,1.00E-08,810.1063518,0.006979704
reg,single,TRUE,SLSQP,l2,0.01,8.470355973,0.007017851
reg,nested,TRUE,SLSQP,RSS,0.05,57.8675491,1.276734352
reg,nested,FALSE,Nelder-Mead,l2,0.01,7.5740208,2.358377934
equal,nested,TRUE,SLSQP,RSS,0.01,57.10698019,5.866339445
reg,nested,FALSE,SLSQP,l2,0.05,7.541461701,1.886207342
equal,nested,TRUE,SLSQP,l2,0.01,7.936583402,6.778333902
reg,nested,TRUE,SLSQP,RSS,0.01,56.6656409,3.159817219
equal,nested,TRUE,SLSQP,RSS,0,56.37413839,6.81206274
reg,nested,TRUE,SLSQP,RSS,0,58.21165774,1.884661674
equal,single,TRUE,SLSQP,l2,0.05,28.46236729,0.007104158
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.415156364
equal,nested,FALSE,L-BFGS-B,l2,0.05,21.3247176,4.034866333
equal,single,FALSE,SLSQP,l2,0.01,28.46236729,0.006937742
equal,nested,FALSE,SLSQP,l2,0,7.647617093,3.517535925
equal,nested,FALSE,L-BFGS-B,RSS,0.01,380.162874,8.190297842
equal,single,TRUE,SLSQP,RSS,0,810.1063518,0.007120609
equal,single,TRUE,SLSQP,l2,0.01,28.46236729,0.007017136
reg,single,FALSE,SLSQP,l2,0,8.470355973,0.006932735
reg,single,FALSE,SLSQP,RSS,1.00E-08,71.74693031,0.006953239
reg,nested,FALSE,SLSQP,RSS,0.05,58.14911159,0.842955589
reg,nested,TRUE,SLSQP,RSS,1.00E-08,57.3720952,2.937341928
reg,single,TRUE,SLSQP,RSS,0.01,71.74693031,0.006981134
equal,single,FALSE,SLSQP,l2,0,28.46236729,0.006828785
equal,nested,TRUE,SLSQP,RSS,0.05,58.53013777,2.825264931
equal,nested,TRUE,SLSQP,RSS,1.00E-08,670.8734763,0.325042486
equal,single,FALSE,SLSQP,l2,0.01,28.46236729,0.006827354
reg,single,TRUE,SLSQP,l2,0.05,8.470355973,0.006853104
equal,single,FALSE,SLSQP,RSS,0.01,810.1063518,0.006530523
reg,nested,FALSE,Nelder-Mead,l2,0,7.5740208,2.362910748
equal,nested,FALSE,Nelder-Mead,l2,0.01,7.659511007,3.379391193
reg,nested,TRUE,SLSQP,l2,0.05,7.54108769,2.080134869
reg,nested,FALSE,SLSQP,l2,1.00E-08,7.547317857,1.735626936
reg,nested,FALSE,L-BFGS-B,RSS,1.00E-08,58.47858216,5.217242479
reg,single,FALSE,SLSQP,l2,0,8.470355973,0.006852865
reg,single,TRUE,SLSQP,RSS,0.01,71.74693031,0.006951094
equal,nested,FALSE,Nelder-Mead,l2,0.05,7.659511007,3.391131163
reg,single,FALSE,SLSQP,l2,0.05,8.470355973,0.007023096
equal,single,FALSE,SLSQP,RSS,1.00E-08,810.1063518,0.00702095
reg,nested,TRUE,SLSQP,l2,0.01,7.540234385,3.224533558
equal,nested,FALSE,L-BFGS-B,l2,0.05,21.3247176,4.034188747
equal,nested,FALSE,Nelder-Mead,l2,0.05,7.659511007,3.400071383
reg,nested,FALSE,Nelder-Mead,RSS,0,57.36340997,2.905059099
equal,nested,TRUE,SLSQP,l2,0.05,8.645206725,6.670946598
equal,single,TRUE,SLSQP,RSS,0.01,810.1063518,0.006985903
equal,single,FALSE,SLSQP,l2,0.01,28.46236729,0.006649733
reg,nested,FALSE,SLSQP,l2,0,7.500923927,4.199463844
reg,nested,FALSE,SLSQP,RSS,0,59.726042,1.624659061
reg,single,FALSE,SLSQP,l2,1.00E-08,8.470355973,0.006934404
reg,nested,FALSE,SLSQP,RSS,0,59.726042,1.593169689
equal,nested,FALSE,SLSQP,l2,1.00E-08,7.62905256,5.297402143
